pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_masse,pl_dens,pl_insol,pl_eqt,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,sy_dist,sy_plx,sy_dist.1,discoverymethod,disc_year,pl_type
Kepler-276 c,Kepler-276,31.8841569,0.18619,0.0,2.732,25.2,25.2,,21.4,563.0,86.92,5693.0,0.89,0.84,-0.089,-0.29,4.53,1144.86,0.846215,1144.86,Transit,2013,Mini-Neptune
Kepler-276 d,Kepler-276,48.64703539,0.24666,0.0,2.228,18.4,18.4,,12.3,489.0,87.42,5746.0,0.91,1.03,-0.089,-0.29,4.53,1144.86,0.846215,1144.86,Transit,2013,Unknown
Kepler-277 b,Kepler-277,17.3240688,0.14168,0.0,3.027,78.1,78.1,,181.3,964.0,86.03,5914.0,1.83,1.08,0.568,0.09,3.95,976.643,0.995143,976.643,Transit,2013,Unknown
Kepler-277 c,Kepler-277,33.00622327,0.21781,0.0,2.853,39.6,39.6,,76.5,778.0,89.33,5914.0,1.83,1.08,0.568,0.09,3.95,976.643,0.995143,976.643,Transit,2013,Mini-Neptune
Kepler-278 b,Kepler-278,30.15862717,0.21293,0.0,4.015,284.35661854000057,,,96.4,836.0,87.47,4904.79,2.97,1.41,,0.271,3.62,443.03,2.2289,443.03,Transit,2014,Unknown
Kepler-278 c,Kepler-278,51.07632364,0.30256,0.0,3.195,338.091340800001,,,47.7,702.0,89.07,4904.79,2.97,1.41,,0.271,3.62,443.03,2.2289,443.03,Transit,2014,Unknown
Kepler-279 b,Kepler-279,12.30948895,0.1099,0.0,3.219,246.30865752,,,249.02,1104.0,83.92,6689.45,1.35,1.42,0.519,-0.114,4.33,1037.4,0.935277,1037.4,Transit,2014,Unknown
Kepler-279 c,Kepler-279,35.7353616,0.2236,0.0,4.611,7.4,7.4,0.3,60.16,774.0,87.09,6363.0,1.43,1.42,0.519,-0.114,4.33,1037.4,0.935277,1037.4,Transit,2013,Unknown
Kepler-279 d,Kepler-279,54.4205407,0.2901,0.0,4.285,4.5,4.5,0.3,35.74,574.0,87.09,6363.0,1.43,1.42,0.519,-0.114,4.33,1037.4,0.935277,1037.4,Transit,2013,Unknown
Kepler-28 b,Kepler-28,5.91,0.05687,0.0,1.959,1.63,1.63,1.18543,54.5,585.0,89.51,4499.3,0.66,0.68,-0.745,0.02,4.68,438.359,2.25265,438.359,Transit,2011,Unknown
