pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_masse,pl_dens,pl_insol,pl_eqt,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,sy_dist,discoverymethod,disc_year
Kepler-306 c,Kepler-306,7.2400374,0.06659,0.0,2.332,,,,69.4,716.0,88.29,4948.0,0.79,0.81,-0.469,-0.13,4.55,775.679,Transit,2014
Kepler-306 d,Kepler-306,17.32683114,0.11916,0.0,2.317,,,,21.7,535.0,88.0,4948.0,0.79,0.81,-0.469,-0.13,4.55,775.679,Transit,2014
Kepler-306 e,Kepler-306,44.84074828,0.22455,0.0,2.473,,,,6.1,390.0,88.5,4948.0,0.79,0.81,-0.469,-0.13,4.55,775.679,Transit,2014
Kepler-307 b,Kepler-307,10.41572924,0.09359,0.0,2.908,8.8,8.8,1.8,82.5,797.0,88.23,5559.0,0.92,1.01,-0.122,0.23,4.47,575.581,Transit,2013
Kepler-307 c,Kepler-307,13.08424096,0.10896,0.0,2.719,3.9,3.9,1.1,60.9,739.0,88.37,5559.0,0.92,1.01,-0.122,0.23,4.47,575.581,Transit,2013
Kepler-308 b,Kepler-308,9.69501793,0.089,0.0,2.033,,,,108.64,833.0,89.36,5705.0,0.9,1.02,-0.116,-0.1,4.54,1335.92,Transit,2014
Kepler-308 c,Kepler-308,15.38249784,0.1211,0.0,2.083,,,,58.68,714.0,89.97,5705.0,0.9,1.02,-0.116,-0.1,4.54,1335.92,Transit,2014
Kepler-309 b,Kepler-309,5.92367007,0.0599,0.0,1.553,,,,71.7,531.0,89.85,4714.0,0.77,0.75,-0.574,0.26,4.54,544.568,Transit,2014
Kepler-309 c,Kepler-309,105.35646851,0.40811,0.0,3.155,,,,1.5,204.0,89.71,4714.0,0.77,0.75,-0.574,0.26,4.54,544.568,Transit,2014
Kepler-31 b,Kepler-31,20.86021267,0.15019,0.0,5.496,,,,80.0,781.0,89.88,6088.0,1.21,1.04,0.301,-0.09,4.25,1664.64,Transit,2011
Kepler-31 c,Kepler-31,42.63416177,0.24192,0.0,5.204,29.5,29.5,,30.9,615.0,89.85,6088.0,1.21,1.04,0.301,-0.09,4.25,1664.64,Transit,2011
Kepler-31 d,Kepler-31,87.64710222,0.39117,0.0,4.23,2161.244,2161.244,,11.8,484.0,89.89,6011.2,1.3,1.11,0.301,-0.131,4.25,1664.64,Transit,2014
Kepler-310 b,Kepler-310,13.93064656,0.10757,0.0,1.189,,,,48.1,665.0,87.46,5490.0,0.84,0.96,-0.239,-0.12,4.57,602.268,Transit,2014
Kepler-310 c,Kepler-310,56.47603581,0.2735,0.0,3.273,,,,7.4,417.0,88.81,5490.0,0.84,0.96,-0.239,-0.12,4.57,602.268,Transit,2014
Kepler-310 d,Kepler-310,92.87512229,0.38088,0.0,2.336,7.0,7.0,3.3,3.8,353.0,88.82,5490.0,0.84,0.96,-0.239,-0.12,4.57,602.268,Transit,2014
Kepler-311 b,Kepler-311,9.1761224,0.08566,0.0,1.659,,,,191.7,960.0,89.63,5841.2,1.22,1.05,0.193,-0.095,4.29,778.654,Transit,2014
Kepler-311 c,Kepler-311,19.74070039,0.1427,0.0,1.544,,,,69.1,744.0,88.06,5841.2,1.22,1.05,0.193,-0.095,4.29,778.654,Transit,2014
Kepler-311 d,Kepler-311,232.0469971,0.73783,0.0,2.073,,,,2.6,327.0,89.7,5903.0,1.16,0.97,0.193,-0.1,4.3,778.654,Transit,2023
Kepler-312 b,Kepler-312,1.77241008,0.03141,0.0,1.463,,,,3765.0,1685.0,89.94,6158.44,1.75,1.17,0.598,0.121,4.02,797.72,Transit,2014
Kepler-312 c,Kepler-312,19.74736302,0.15667,0.0,3.642,,,,151.5,754.0,89.06,6158.44,1.75,1.17,0.598,0.121,4.02,797.72,Transit,2014
Kepler-313 b,Kepler-313,14.97039854,0.12331,0.0,2.682,,,,142.4,883.0,88.91,5709.0,1.51,1.11,,0.26,4.12,,Transit,2014
Kepler-313 c,Kepler-313,32.27625196,0.20573,0.0,2.393,,,,51.1,683.0,88.5,5709.0,1.51,1.11,,0.26,4.12,,Transit,2014
Kepler-314 b,Kepler-314,2.46106655,0.035555,0.0,0.78,,,,476.2,1195.0,85.4,5219.54,0.94,0.99,-0.226,0.322,4.44,268.881,Transit,2014
Kepler-314 c,Kepler-314,5.96040108,0.064121,0.0,2.767,,,,146.4,890.0,85.57,5219.54,0.94,0.99,-0.226,0.322,4.44,268.881,Transit,2014
Kepler-315 b,Kepler-315,96.105471,0.38627,0.0,4.564,,,,6.6,409.0,88.26,5683.0,1.02,0.83,0.004,-0.27,4.45,1160.63,Transit,2014
Kepler-315 c,Kepler-315,265.467621,0.7605,0.0,4.325,,,,1.7,291.0,89.31,5683.0,1.02,0.83,0.004,-0.27,4.45,1160.63,Transit,2014
Kepler-316 b,Kepler-316,2.24049791,0.0281,0.0,1.451,,,,164.78,837.0,87.63,4256.0,0.7,0.67,-0.836,-0.32,4.57,384.938,Transit,2014
Kepler-316 c,Kepler-316,6.82776344,0.059,0.0,1.598,,,,37.38,577.0,89.09,4256.0,0.7,0.67,-0.836,-0.32,4.57,384.938,Transit,2014
Kepler-317 b,Kepler-317,5.52421777,0.0583,0.0,1.898,109.8,109.8,,151.65,976.0,87.89,5317.0,0.93,0.92,-0.208,0.16,4.47,940.584,Transit,2014
Kepler-317 c,Kepler-317,8.77519484,0.0794,0.0,1.609,,,,81.76,837.0,88.45,5317.0,0.93,0.92,-0.208,0.16,4.47,940.584,Transit,2014
Kepler-318 b,Kepler-318,4.66271796,0.05594,0.0,3.893,,,,321.7,1039.0,87.66,5940.12,0.95,1.08,0.004,0.332,4.52,489.141,Transit,2014
Kepler-318 c,Kepler-318,11.81500401,0.10398,0.0,3.034,,,,93.3,762.0,87.15,5940.12,0.95,1.08,0.004,0.332,4.52,489.141,Transit,2014
Kepler-319 b,Kepler-319,4.36275831,0.05109,0.0,1.526,,,,238.3,1023.0,86.03,5589.32,0.87,0.99,-0.181,-0.015,4.56,503.436,Transit,2014
Kepler-319 c,Kepler-319,6.94135704,0.06963,0.0,2.456,,,,128.3,876.0,86.78,5589.32,0.87,0.99,-0.181,-0.015,4.56,503.436,Transit,2014
Kepler-319 d,Kepler-319,31.78221016,0.19199,0.0,2.148,,,,16.9,528.0,89.85,5589.32,0.87,0.99,-0.181,-0.015,4.56,503.436,Transit,2014
Kepler-32 b,Kepler-32,5.90127815,0.051,0.0,2.231,9.4,9.4,,22.02,514.0,89.92,3731.0,0.57,0.57,-1.212,-0.02,4.67,323.847,Transit,2011
Kepler-32 c,Kepler-32,8.75209691,0.0664,0.0,2.112,7.7,7.7,,12.99,451.0,89.97,3731.0,0.57,0.57,-1.212,-0.02,4.67,323.847,Transit,2011
Kepler-32 d,Kepler-32,22.7809011,0.1256,0.0,2.504,,,,3.63,328.0,89.99,3791.0,0.57,0.57,-1.212,-0.02,4.67,323.847,Transit,2012
Kepler-32 e,Kepler-32,2.89602274,0.0318,0.0,1.418,,,,56.65,652.0,89.65,3791.0,0.57,0.57,-1.212,-0.02,4.67,323.847,Transit,2012
Kepler-32 f,Kepler-32,0.74295905,0.0128,0.0,1.697,,,,349.64,1026.0,88.93,3791.0,0.57,0.57,-1.212,-0.02,4.67,323.847,Transit,2012
Kepler-320 b,Kepler-320,8.37160502,0.08263,0.0,1.258,,,,288.5,1292.0,71.53,6134.0,1.25,1.07,0.374,-0.06,4.19,826.613,Transit,2014
Kepler-320 c,Kepler-320,17.9346563,0.13732,0.0,1.687,,,,104.6,1002.0,80.93,6134.0,1.25,1.07,0.374,-0.06,4.19,826.613,Transit,2014
Kepler-321 b,Kepler-321,4.91538579,0.05705,0.0,1.652,,,,292.6,1042.0,87.7,5762.08,0.99,1.03,-0.008,0.121,4.46,384.542,Transit,2014
Kepler-321 c,Kepler-321,13.09391017,0.10962,0.0,2.073,,,,79.2,752.0,87.96,5762.08,0.99,1.03,-0.008,0.121,4.46,384.542,Transit,2014
Kepler-322 b,Kepler-322,1.6538917,0.02652,0.0,0.937,,,,710.9,1373.0,88.21,5330.0,0.84,0.92,-0.288,0.12,4.55,400.48,Transit,2014
Kepler-322 c,Kepler-322,4.33723745,0.05042,0.0,1.549,,,,196.4,996.0,89.77,5330.0,0.84,0.92,-0.288,0.12,4.55,400.48,Transit,2014
Kepler-323 b,Kepler-323,1.678328,0.02778,0.095,1.381,3.9,3.9,8.2,1900.0,1838.0,88.3,6004.0,1.12,1.01,0.151,-0.14,4.33,454.883,Transit,2014
Kepler-323 c,Kepler-323,3.5538229,0.0458,0.095,1.57,6.8,6.8,9.6,700.0,1431.0,88.7,6004.0,1.12,1.01,0.151,-0.14,4.33,454.883,Transit,2014
Kepler-324 b,Kepler-324,4.38538429,0.05065,0.0,1.15,,,,182.7,935.0,88.5,5214.0,0.86,0.89,-0.308,0.18,4.52,501.574,Transit,2014
Kepler-324 c,Kepler-324,51.8096695,0.26279,0.0,3.374,,,,6.8,410.0,89.75,5233.0,0.83,0.9,-0.308,0.18,4.52,501.574,Transit,2014
Kepler-324 e,Kepler-324,13.97939968,0.10972,0.0,2.039,,,,38.9,635.0,88.6,5191.0,0.83,0.84,-0.308,0.08,4.53,501.574,Transit,2021
Kepler-325 b,Kepler-325,4.54445723,0.05213,0.0,2.427,,,,203.8,1017.0,86.99,5585.15,0.8,0.99,-0.255,0.017,4.63,823.242,Transit,2014
Kepler-325 c,Kepler-325,12.76211573,0.10378,0.0,2.744,,,,51.5,721.0,87.01,5585.15,0.8,0.99,-0.255,0.017,4.63,823.242,Transit,2014
Kepler-325 d,Kepler-325,38.71479726,0.21748,0.0,2.482,,,,11.7,498.0,89.39,5585.15,0.8,0.99,-0.255,0.017,4.63,823.242,Transit,2014
Kepler-326 b,Kepler-326,2.24830252,0.03256,0.0,1.743,44.6,44.6,,723.8,1127.0,89.97,5179.81,1.04,0.88,-0.157,0.239,4.35,487.675,Transit,2014
Kepler-326 c,Kepler-326,4.58034082,0.05233,0.0,1.905,17.4,17.4,,280.4,889.0,88.6,5179.81,1.04,0.88,-0.157,0.239,4.35,487.675,Transit,2014
Kepler-326 d,Kepler-326,6.76691039,0.06788,0.0,1.658,6.9,6.9,,166.7,781.0,88.43,5179.81,1.04,0.88,-0.157,0.239,4.35,487.675,Transit,2014
Kepler-327 b,Kepler-327,2.54955841,0.0293,0.0,1.329,,,,73.06,682.0,89.77,3864.0,0.6,0.59,-1.134,0.04,4.65,241.987,Transit,2014
Kepler-327 c,Kepler-327,5.21232556,0.0471,0.0,1.242,20.3,20.3,,28.27,537.0,89.44,3864.0,0.6,0.59,-1.134,0.04,4.65,241.987,Transit,2014
Kepler-327 d,Kepler-327,13.96952951,0.0909,0.0,2.444,,,,7.59,387.0,88.5,3864.0,0.6,0.59,-1.134,0.04,4.65,241.987,Transit,2014
Kepler-328 b,Kepler-328,34.9168399,0.2199,0.0,3.218,28.5,28.5,,57.08,602.0,89.96,6210.0,1.44,1.13,0.44,0.07,4.14,2213.19,Transit,2013
Kepler-328 c,Kepler-328,71.3116598,0.354,0.0,6.655,39.4,39.4,,22.02,475.0,89.97,6210.0,1.44,1.13,0.44,0.07,4.14,2213.19,Transit,2013
Kepler-329 b,Kepler-329,7.41633724,0.0613,0.0,1.72,,,,40.69,547.0,88.86,4475.0,0.72,0.7,-0.731,-0.44,4.57,439.719,Transit,2014
Kepler-329 c,Kepler-329,18.68482153,0.1135,0.0,2.676,,,,11.87,402.0,89.35,4475.0,0.72,0.7,-0.731,-0.44,4.57,439.719,Transit,2014
Kepler-33 b,Kepler-33,5.66802472,0.06628,0.0,1.467,,,,661.6,1336.0,88.85,5904.0,1.71,1.07,0.507,0.15,4.0,1209.16,Transit,2011
Kepler-33 c,Kepler-33,13.175373,0.11632,0.0,2.546,0.39,0.39,0.13,214.7,1009.0,89.95,5904.0,1.71,1.07,0.507,0.15,4.0,1209.16,Transit,2011
Kepler-33 d,Kepler-33,21.77571439,0.16262,0.0,4.529,4.1,4.1,0.2,109.8,853.0,89.93,5904.0,1.71,1.07,0.507,0.15,4.0,1209.16,Transit,2011
Kepler-33 e,Kepler-33,31.78476785,0.20921,0.0,3.483,5.5,5.5,0.8,66.4,752.0,89.97,5947.0,1.61,1.21,0.507,0.14,4.0,1209.16,Transit,2011
Kepler-33 f,Kepler-33,41.0280637,0.24803,0.0,3.939,9.6,9.6,0.9,47.2,691.0,89.98,5947.0,1.61,1.21,0.507,0.14,4.0,1209.16,Transit,2011
Kepler-330 b,Kepler-330,8.25984303,0.07573,0.0,1.37,,,,60.6,714.0,89.57,4967.0,0.81,0.82,-0.442,0.16,4.53,717.527,Transit,2014
Kepler-330 c,Kepler-330,15.9556054,0.11743,0.0,2.308,,,,25.2,573.0,89.4,4967.0,0.81,0.82,-0.442,0.16,4.53,717.527,Transit,2014
Kepler-331 b,Kepler-331,8.45748947,0.0661,0.0,2.504,,,,35.98,540.0,89.58,4604.9,0.64,0.73,-0.784,0.118,4.69,580.119,Transit,2014
Kepler-331 c,Kepler-331,17.28109052,0.1064,0.0,2.721,,,,13.89,425.0,89.75,4604.9,0.64,0.73,-0.784,0.118,4.69,580.119,Transit,2014
Kepler-331 d,Kepler-331,32.13372916,0.161,0.0,2.453,,,,6.07,346.0,89.84,4604.9,0.64,0.73,-0.784,0.118,4.69,580.119,Transit,2014
Kepler-332 b,Kepler-332,7.62632454,0.06869,0.0,1.158,,,,54.3,703.0,89.43,4925.0,0.7,0.81,-0.584,-0.13,4.65,344.19,Transit,2014
Kepler-332 c,Kepler-332,15.99561699,0.11258,0.0,1.035,,,,20.2,550.0,89.86,4925.0,0.7,0.81,-0.584,-0.13,4.65,344.19,Transit,2014
Kepler-332 d,Kepler-332,34.21117556,0.18689,0.0,1.125,,,,7.3,427.0,89.96,4925.0,0.7,0.81,-0.584,-0.13,4.65,344.19,Transit,2014
Kepler-333 b,Kepler-333,12.55116369,0.0896,0.0,1.55,28.2,28.2,,16.82,480.0,88.9,4470.56,0.62,0.7,-0.857,0.046,4.7,324.413,Transit,2014
Kepler-333 c,Kepler-333,24.08838547,0.1384,0.0,1.338,,,,7.05,386.0,89.51,4470.56,0.62,0.7,-0.857,0.046,4.7,324.413,Transit,2014
Kepler-334 b,Kepler-334,5.47033694,0.061202,0.0,1.026,,,,282.3,1090.0,89.68,5907.82,1.02,1.02,0.056,-0.012,4.45,426.59,Transit,2014
Kepler-334 c,Kepler-334,12.75802811,0.107633,0.0,1.374,,,,91.3,822.0,89.97,5907.82,1.02,1.02,0.056,-0.012,4.45,426.59,Transit,2014
Kepler-334 d,Kepler-334,25.09852783,0.168988,0.0,1.394,,,,37.0,656.0,88.88,5907.82,1.02,1.02,0.056,-0.012,4.45,426.59,Transit,2014
Kepler-335 b,Kepler-335,6.56224804,0.07616,0.0,3.198,,,,626.8,1290.0,86.26,5928.73,1.84,1.08,0.578,0.278,3.94,1278.97,Transit,2014
Kepler-335 c,Kepler-335,67.85878478,0.36145,0.0,2.81,,,,27.8,592.0,89.49,5928.73,1.84,1.08,0.578,0.278,3.94,1278.97,Transit,2014
Kepler-336 b,Kepler-336,2.02482766,0.0322,0.0,1.01,,,,1652.5,1625.0,87.61,5956.94,1.27,1.09,,0.337,4.27,768.86,Transit,2014
Kepler-336 c,Kepler-336,9.59997058,0.091,0.0,2.08,,,,206.91,967.0,89.79,5956.94,1.27,1.09,,0.337,4.27,768.86,Transit,2014
Kepler-336 d,Kepler-336,20.67870424,0.1518,0.0,2.42,,,,74.36,749.0,88.55,5956.94,1.27,1.09,,0.337,4.27,768.86,Transit,2014
Kepler-337 b,Kepler-337,3.29278521,0.04447,0.0,1.644,,,,1475.4,1458.0,80.59,5694.42,1.79,1.01,0.481,0.091,3.94,677.975,Transit,2014
Kepler-337 c,Kepler-337,9.69312737,0.09135,0.0,2.237,,,,349.5,1017.0,85.39,5694.42,1.79,1.01,0.481,0.091,3.94,677.975,Transit,2014
Kepler-338 b,Kepler-338,13.72707449,0.115997,0.0,2.492,30.6,30.6,,247.3,1005.0,89.9,5860.88,1.9,1.1,0.586,-0.029,3.9,552.798,Transit,2014
Kepler-338 c,Kepler-338,24.3111399,0.169797,0.0,2.394,,,,115.3,831.0,89.61,5860.88,1.9,1.1,0.586,-0.029,3.9,552.798,Transit,2014
Kepler-338 d,Kepler-338,44.4301361,0.253812,0.0,2.829,,,,51.6,680.0,89.96,5860.88,1.9,1.1,0.586,-0.029,3.9,552.798,Transit,2014
Kepler-338 e,Kepler-338,9.34144548,0.089744,0.0,1.767,8.5,8.5,,412.5,1143.0,87.49,5898.0,1.75,1.1,0.586,-0.01,3.9,552.798,Transit Timing Variations,2014
Kepler-339 b,Kepler-339,4.97760699,0.05449,0.0,1.381,,,,156.1,1023.0,87.96,5495.56,0.77,0.96,-0.313,0.033,4.65,616.637,Transit,2014
Kepler-339 c,Kepler-339,6.98778873,0.06831,0.0,1.117,7.3,7.3,,99.1,914.0,89.92,5495.56,0.77,0.96,-0.313,0.033,4.65,616.637,Transit,2014
Kepler-339 d,Kepler-339,10.55826396,0.08995,0.0,1.1,14.7,14.7,,57.1,796.0,89.23,5495.56,0.77,0.96,-0.313,0.033,4.65,616.637,Transit,2014
Kepler-34 b,Kepler-34,288.822,1.0896,0.182,8.564,69.92,69.92,0.613,,,90.355,5913.0,1.16,1.05,0.173,-0.07,4.33,1800.82,Transit,2011
Kepler-340 b,Kepler-340,14.8444836,0.1329,0.0,2.259,,,,274.32,1092.0,89.54,6620.0,1.68,1.87,0.867,-0.08,4.38,808.762,Transit,2014
Kepler-340 c,Kepler-340,22.8245144,0.177,0.0,3.055,,,,154.65,946.0,89.38,6620.0,1.68,1.87,0.867,-0.08,4.38,808.762,Transit,2014
Kepler-341 b,Kepler-341,5.19561701,0.05827,0.0,1.35,,,,397.2,1085.0,89.71,5669.0,1.2,1.01,0.127,0.07,4.28,1047.03,Transit,2014
Kepler-341 c,Kepler-341,8.0103206,0.07775,0.0,2.04,,,,223.3,940.0,89.82,5669.0,1.2,1.01,0.127,0.07,4.28,1047.03,Transit,2014
Kepler-341 d,Kepler-341,27.6666273,0.17768,0.0,2.306,,,,42.7,622.0,88.98,5669.0,1.2,1.01,0.127,0.07,4.28,1047.03,Transit,2014
Kepler-341 e,Kepler-341,42.46865388,0.23647,0.0,2.867,,,,24.2,539.0,89.51,5669.0,1.2,1.01,0.127,0.07,4.28,1047.03,Transit,2014
Kepler-342 b,Kepler-342,15.17043614,0.12798,0.0,2.103,,,,157.6,905.0,85.52,6139.09,1.49,1.16,0.453,-0.001,4.16,781.611,Transit,2014
Kepler-342 c,Kepler-342,26.2348478,0.18434,0.0,1.843,,,,75.9,754.0,86.14,6272.0,1.36,1.21,0.453,0.1,4.16,781.611,Transit,2014
Kepler-342 d,Kepler-342,39.4571522,0.24204,0.0,2.679,,,,44.0,658.0,84.57,6272.0,1.36,1.21,0.453,0.1,4.16,781.611,Transit,2014
Kepler-342 e,Kepler-342,1.64422461,0.02909,0.0,0.963,,,,3048.3,1897.0,58.94,6272.0,1.36,1.21,0.453,0.1,4.16,781.611,Transit,2016
Kepler-343 b,Kepler-343,8.96852012,0.08604,0.0,2.062,,,,197.9,1024.0,87.58,5750.81,1.29,1.03,0.216,0.145,4.23,927.193,Transit,2014
Kepler-343 c,Kepler-343,23.22181264,0.16225,0.0,1.767,,,,55.6,746.0,88.18,5750.81,1.29,1.03,0.216,0.145,4.23,927.193,Transit,2014
Kepler-344 b,Kepler-344,21.96412252,0.14993,0.0,2.372,,,,26.2,643.0,89.5,5349.15,0.94,0.92,-0.185,0.04,4.45,1002.94,Transit,2014
Kepler-344 c,Kepler-344,125.602302,0.47953,0.0,2.861,,,,2.6,360.0,89.97,5459.0,0.86,0.93,-0.185,0.08,4.45,1002.94,Transit,2014
Kepler-345 b,Kepler-345,7.42,0.0658,0.0,1.08,0.5,0.5,5.2,35.37,622.0,89.05,4722.0,0.82,0.79,,0.191,4.66,,Transit,2014
Kepler-345 c,Kepler-345,9.39,0.077,0.0,2.03,2.2,2.2,4.8,25.83,575.0,86.89,4722.0,0.82,0.79,,0.191,4.66,,Transit,2014
Kepler-346 b,Kepler-346,6.51112086,0.06696,0.0,2.359,,,,139.8,1008.0,86.75,5543.0,0.91,0.98,-0.153,0.1,4.51,984.105,Transit,2014
Kepler-346 c,Kepler-346,23.85164994,0.15913,0.0,2.871,,,,24.8,654.0,88.74,5543.0,0.91,0.98,-0.153,0.1,4.51,984.105,Transit,2014
Kepler-347 b,Kepler-347,12.79838462,0.10429,0.0,2.865,,,,180.4,908.0,86.06,5833.0,1.45,1.05,0.342,-0.14,4.14,1298.88,Transit,2014
Kepler-347 c,Kepler-347,27.32126628,0.17287,0.0,2.368,,,,65.7,705.0,85.39,5833.0,1.45,1.05,0.342,-0.14,4.14,1298.88,Transit,2014
Kepler-347 d,Kepler-347,85.51660156,0.36994,0.0,2.63,,,,14.3,482.0,88.0,5592.0,1.45,1.0,0.342,0.16,4.12,1298.88,Transit,2023
Kepler-348 b,Kepler-348,7.05673363,0.0763,0.0,1.459,,,,440.6,1196.0,88.28,6503.59,1.3,1.33,0.433,-0.128,4.34,570.783,Transit,2014
Kepler-348 c,Kepler-348,17.26528261,0.13856,0.0,1.171,,,,133.4,888.0,89.99,6503.59,1.3,1.33,0.433,-0.128,4.34,570.783,Transit,2014
Kepler-349 b,Kepler-349,5.92974581,0.06587,0.0,2.002,94.5,94.5,,231.3,972.0,89.85,5665.19,1.03,1.01,-0.007,0.151,4.42,940.724,Transit,2014
Kepler-349 c,Kepler-349,12.24764903,0.10683,0.0,2.087,,,,88.0,763.0,89.77,5665.19,1.03,1.01,-0.007,0.151,4.42,940.724,Transit,2014
Kepler-35 b,Kepler-35,131.458,0.60347,0.042,8.16,40.363,40.363,0.41,,,90.76,5606.0,1.03,0.89,-0.027,-0.34,4.36,1819.17,Transit,2011
Kepler-350 b,Kepler-350,11.19003927,0.1015,0.0,1.757,,,,257.72,1037.0,87.76,6492.3,1.29,1.33,0.428,0.041,4.34,956.859,Transit,2014
Kepler-350 c,Kepler-350,17.8485279,0.1385,0.0,3.191,7.2,7.2,,138.41,888.0,86.29,6492.3,1.29,1.33,0.428,0.041,4.34,956.859,Transit,2013
Kepler-350 d,Kepler-350,26.136337,0.1786,0.0,2.717,14.8,14.8,,83.24,782.0,89.65,6492.3,1.29,1.33,0.428,0.041,4.34,956.859,Transit,2013
Kepler-351 b,Kepler-351,37.05518848,0.2109,0.0,2.889,4.8,4.8,,11.98,498.0,88.19,5313.0,0.76,0.91,-0.386,-0.14,4.64,1083.91,Transit,2014
Kepler-351 c,Kepler-351,57.24899018,0.2818,0.0,2.89,11.1,11.1,,6.71,431.0,89.98,5313.0,0.76,0.91,-0.386,-0.14,4.64,1083.91,Transit,2014
Kepler-351 d,Kepler-351,142.54011512,0.5177,0.0,2.279,,,,1.99,318.0,89.99,5313.0,0.76,0.91,-0.386,-0.14,4.64,1083.91,Transit,2016
Kepler-352 b,Kepler-352,10.05532583,0.08463,0.0,0.859,,,,49.1,694.0,89.87,5262.0,0.73,0.9,-0.432,-0.11,4.66,252.733,Transit,2014
Kepler-352 c,Kepler-352,16.33273212,0.11693,0.0,1.212,,,,25.7,591.0,88.19,5262.0,0.73,0.9,-0.432,-0.11,4.66,252.733,Transit,2014
Kepler-352 d,Kepler-352,6.88727999,0.06574,0.0,0.806,,,,81.3,788.0,88.66,5208.0,0.77,0.8,-0.432,-0.14,4.56,252.733,Transit,2021
Kepler-353 b,Kepler-353,5.79531085,0.0519,0.0,1.251,,,,27.19,534.0,87.11,3915.0,0.63,0.61,-1.071,0.18,4.62,384.694,Transit,2014
Kepler-353 c,Kepler-353,8.41102236,0.0665,0.0,2.13,,,,16.56,472.0,85.99,3915.0,0.63,0.61,-1.071,0.18,4.62,384.694,Transit,2014
Kepler-354 b,Kepler-354,5.47669094,0.0542,0.0,1.916,,,,64.84,741.0,85.82,4550.0,0.71,0.72,-0.714,-0.04,4.6,554.064,Transit,2014
Kepler-354 c,Kepler-354,16.93485739,0.115,0.0,1.254,,,,14.4,508.0,89.21,4550.0,0.71,0.72,-0.714,-0.04,4.6,554.064,Transit,2014
Kepler-354 d,Kepler-354,24.21027984,0.1459,0.0,1.436,,,,8.95,451.0,89.38,4550.0,0.71,0.72,-0.714,-0.04,4.6,554.064,Transit,2014
Kepler-355 b,Kepler-355,11.0315749,0.09482,0.0,1.696,,,,151.7,840.0,88.59,5787.0,1.25,1.04,0.195,-0.06,4.26,1432.17,Transit,2014
Kepler-355 c,Kepler-355,25.76280624,0.16689,0.0,3.189,,,,49.1,633.0,89.32,5787.0,1.25,1.04,0.195,-0.06,4.26,1432.17,Transit,2014
Kepler-356 b,Kepler-356,4.61265057,0.05705,0.0,1.665,,,,786.7,1294.0,84.44,6018.64,1.56,1.11,0.461,-0.023,4.09,707.559,Transit,2014
Kepler-356 c,Kepler-356,13.12133001,0.11456,0.0,2.097,,,,194.9,913.0,87.29,6018.64,1.56,1.11,0.461,-0.023,4.09,707.559,Transit,2014
Kepler-357 b,Kepler-357,6.47540341,0.06299,0.0,1.644,,,,67.7,793.0,88.31,4870.0,0.74,0.79,-0.556,0.06,4.6,688.573,Transit,2014
Kepler-357 c,Kepler-357,16.85830819,0.11918,0.0,2.163,,,,18.9,576.0,88.98,4870.0,0.74,0.79,-0.556,0.06,4.6,688.573,Transit,2014
Kepler-357 d,Kepler-357,49.5004952,0.24444,0.0,2.932,,,,4.5,402.0,89.86,4935.0,0.71,0.79,-0.556,0.06,4.6,688.573,Transit,2014
Kepler-358 b,Kepler-358,34.06074733,0.2079,0.0,2.928,,,,21.8,554.0,89.36,5496.97,0.94,0.96,-0.138,0.035,4.47,1101.1,Transit,2014
Kepler-358 c,Kepler-358,83.48912492,0.3779,0.0,2.911,,,,6.6,411.0,89.75,5496.97,0.94,0.96,-0.138,0.035,4.47,1101.1,Transit,2014
Kepler-359 b,Kepler-359,25.56378757,0.15949,0.0,3.084,,,,23.9,671.0,88.02,5683.0,0.92,1.01,-0.097,-0.29,4.51,1443.21,Transit,2014
Kepler-359 c,Kepler-359,57.68956952,0.27439,0.0,4.143,2.9,2.9,0.1,8.1,512.0,88.74,5683.0,0.92,1.01,-0.097,-0.29,4.51,1443.21,Transit,2014
Kepler-359 d,Kepler-359,77.085964,0.3329,0.0,24.437,2.7,2.7,0.1,5.5,464.0,88.0,5585.0,0.83,0.83,-0.097,-0.29,4.51,1443.21,Transit,2014
Kepler-36 b,Kepler-36,13.84984283,0.114133,0.0,1.486,1.08549,5.56,1.82272,247.0,977.0,89.95,5979.0,1.63,1.03,0.51,-0.18,4.1,527.956,Transit,2012
Kepler-36 c,Kepler-36,16.23192004,0.12687,0.0,3.962,16.27285,9.61,1.44169,191.0,926.0,89.36,5979.0,1.63,1.03,0.51,-0.18,4.1,527.956,Transit,2012
Kepler-360 b,Kepler-360,3.28970072,0.04323,0.0,1.415,,,,383.7,1116.0,89.73,5580.0,0.92,0.99,-0.132,0.15,4.51,876.044,Transit,2014
Kepler-360 c,Kepler-360,7.18645388,0.07279,0.0,1.844,,,,135.4,860.0,87.2,5580.0,0.92,0.99,-0.132,0.15,4.51,876.044,Transit,2014
Kepler-361 b,Kepler-361,8.48642369,0.08636,0.0,1.615,,,,372.1,1060.0,89.96,6203.43,1.47,1.19,0.459,0.024,4.18,930.32,Transit,2014
Kepler-361 c,Kepler-361,55.1866695,0.30084,0.0,2.806,,,,30.6,568.0,89.72,6145.0,1.47,1.19,0.459,0.04,4.18,930.32,Transit,2014
Kepler-362 b,Kepler-362,10.32732564,0.08979,0.0,1.606,,,,213.2,838.0,88.47,5745.22,1.28,1.03,0.209,-0.156,4.23,1090.51,Transit,2014
