pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_masse,pl_dens,pl_insol,pl_eqt,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,sy_dist,discoverymethod,disc_year
TOI-4406 b,TOI-4406,30.08364,0.201,0.15,11.209,95.34852,95.34852,,58.01,904.0,88.48,6219.0,1.29,1.19,0.362,0.1,4.29,261.834,Transit,2023
TOI-4438 b,TOI-4438,7.4463,0.0511,0.14,2.49,5.4,5.4,1.85,6.0,435.0,89.51,3353.0,0.38,0.36,-1.794,-0.19,4.5,30.0346,Transit,2024
TOI-444 b,TOI-444,17.9636,0.133,,2.77,,,,23.47,609.0,89.647,5225.0,0.78,0.96,,0.08,4.64,57.3973,Transit,2023
TOI-4443.01,TOI-4443,1.8498567,0.029963,,1.719,,,,1194.21,1639.0,,5834.0,1.02,1.05,,,4.44,56.0739,Transit,2024
TOI-4463 A b,TOI-4463 A,2.8807198,0.04036,0.0,13.26,252.35576,252.35576,0.595,633.0,1395.0,83.82,5640.0,1.06,1.06,0.011,0.25,4.41,173.117,Transit,2023
TOI-4479 b,TOI-4479,1.1589,0.0164,,2.82,,,,92.5,861.0,86.36,3400.0,0.45,0.45,-1.604,0.0,4.5,80.6532,Transit,2022
TOI-4495.01,TOI-4495,5.1830043,0.061733,,3.63,,,,346.63,1383.0,,6156.0,1.34,1.17,,,4.25,132.214,Transit,2024
TOI-4504 b,TOI-4504,2.42614,0.03392,0.0,2.691,,,,548.05,1234.0,87.4,5315.0,0.92,0.89,-0.208,0.16,4.46,342.605,Transit,2024
TOI-4504 c,TOI-4504,82.97213,0.3569,0.032,11.097,1197.32317,1197.32317,,0.26,183.0,89.69,5315.0,0.92,0.89,-0.208,0.16,4.46,342.605,Transit,2024
TOI-4504 d,TOI-4504,40.5634,0.2219,0.0445,,450.23572,450.23572,,,,85.0,5315.0,0.92,0.89,-0.208,0.16,4.46,342.605,Transit Timing Variations,2024
TOI-451 b,TOI-451,1.858703,0.0283,0.0,1.91,,,,695.19,1491.0,88.2,5550.0,0.88,0.95,-0.189,,4.56,123.739,Transit,2020
TOI-451 c,TOI-451,9.192402,0.0823,0.0,3.1,,,,82.52,875.0,89.61,5550.0,0.88,0.95,-0.189,,4.56,123.739,Transit,2020
TOI-451 d,TOI-451,16.364909,0.1208,0.0,4.07,,,,38.24,722.0,89.25,5550.0,0.88,0.95,-0.189,,4.56,123.739,Transit,2020
TOI-4515 b,TOI-4515,15.266446,0.118,0.461,12.17,637.0,637.0,1.941,42.3,705.0,87.954,5433.0,0.86,0.95,-0.236,0.05,4.48,193.499,Transit,2024
TOI-4527.01,TOI-4527,0.3994445,0.008332,,0.909,,,,571.51,1363.0,,3702.0,0.49,0.48,,,4.75,18.1037,Transit,2024
TOI-4551 b,TOI-4551,9.95581,0.0994,0.101,11.859,473.56433,473.56433,1.74,1247.74,1655.0,86.9,4896.0,3.55,1.31,0.803,0.23,3.48,215.986,Transit,2023
